Timestamp,ID,Age,Gender,Concentration,SwitchingTasks,ExternalDistractions,BackgroundNoiseTolerance,TaskSwitchingComfort,DigitalDistractions,Procrastination,LastMinuteTasks,Familiarity
23/11/2023 19:23:18,20,21,Male,3,4,3,4,2,4,5,4,No
23/11/2023 19:32:36,21,21,Male,4,4,3,2,3,3,2,1,No
23/11/2023 19:37:39,22,21,Male,3,3,3,3,3,4,2,2,No
23/11/2023 19:40:57,23,21,Male,3,5,5,3,1,1,3,3,Yes
23/11/2023 19:47:10,24,21,Male,5,4,3,4,3,3,3,2,No
23/11/2023 19:54:27,25,22,Male,4,5,3,2,2,5,5,4,No
23/11/2023 19:59:57,25,22,Male,4,5,3,2,2,5,5,4,Yes
23/11/2023 20:04:07,26,20,Male,4,3,2,4,3,4,5,5,No
23/11/2023 20:23:36,27,23,Male,4,4,4,3,4,5,4,2,Yes
23/11/2023 22:57:56,31,20,Female,2,5,5,1,2,5,5,5,Yes
23/11/2023 23:03:37,29,20,Female,3,2,4,4,3,4,5,5,Yes
24/11/2023 12:36:54,32,27,Female,3,4,3,2,4,2,3,3,No
25/11/2023 01:14:51,310,20,Female,3,4,4,4,4,5,4,5,Yes
25/11/2023 01:27:09,33,21,Male,5,3,2,4,3,2,5,4,No
25/11/2023 01:43:07,34,20,Male,2,1,4,3,2,3,4,2,No
25/11/2023 01:50:32,35,20,Female,5,4,3,2,4,4,4,3,No
25/11/2023 01:52:45,36,20,Male,3,5,4,4,5,4,4,5,Yes
25/11/2023 02:14:41,37,21,Female,2,5,5,2,3,4,4,4,Yes
25/11/2023 04:01:07,38,21,Male,4,4,3,2,2,4,4,5,No
23/11/2023 18:26:21,11,21,Male,2,5,5,1,5,5,3,4,Yes
23/11/2023 18:39:00,12,21,Male,3,2,5,4,5,5,5,5,Yes
23/11/2023 19:19:38,13,20,Male,4,2,2,1,4,2,2,1,Yes
23/11/2023 19:24:14,14,20,Male,3,3,3,4,4,4,5,5,No
23/11/2023 19:56:12,15,27,Male,3,4,3,3,4,5,3,4,No
23/11/2023 20:04:36,16,20,Male,1,4,5,5,4,4,5,5,No
23/11/2023 20:35:51,17,29,Male,2,5,4,3,4,5,5,5,No
23/11/2023 21:01:58,01,19,Female,3,1,2,1,3,1,2,2,Yes
23/11/2023 21:08:08,02,20,Male,5,1,3,5,3,1,1,1,No
23/11/2023 21:11:32,03,19,Male,3,2,5,4,3,5,4,4,No
23/11/2023 21:33:17,18,20,Male,3,2,4,4,2,4,5,4,No
23/11/2023 21:38:35,19,23,Male,2,4,5,1,2,5,5,5,Yes
23/11/2023 21:56:58,28,21,Male,2,4,5,2,3,3,2,3,No
23/11/2023 22:00:25,04,21,Male,2,5,4,1,4,4,5,5,Yes
23/11/2023 22:04:37,05,21,Male,5,3,1,2,3,3,5,5,No
24/11/2023 21:37:43,06,20,Male,3,4,3,2,3,4,5,5,No
24/11/2023 22:31:34,07,21,Male,3,3,5,3,4,4,3,1,Yes
24/11/2023 22:40:00,08,22,Male,4,3,4,2,2,4,4,4,No
24/11/2023 22:43:10,09,21,Male,3,1,3,4,2,4,5,3,Yes
24/11/2023 22:50:16,010,21,Male,2,3,5,4,3,4,4,5,No
