Trial,Correct,Response Time (s),Distraction Type
1,1,2.5693554878234863,None
2,0,2.6608829498291016,None
3,1,1.5828444957733154,None
4,1,1.6702015399932861,None
5,1,1.6843302249908447,Audio
6,1,1.9688212871551514,Audio
7,0,1.7765636444091797,Audio
8,0,1.7593622207641602,None
9,0,3.0244972705841064,Notification
10,1,1.93599271774292,Notification
11,1,2.74735164642334,Audio
12,1,1.4651987552642822,None
13,1,1.9896957874298096,None
14,1,1.3259434700012207,None
15,1,2.1052653789520264,Audio
16,1,2.2582316398620605,None
17,1,1.9234089851379395,None
18,1,1.9937164783477783,Notification
19,1,1.7543165683746338,Notification
20,1,1.4453887939453125,None
