Trial,Correct,Response Time (s)
1,1,2.347017288208008
2,1,1.7646095752716064
3,1,2.1810359954833984
4,1,1.5606577396392822
5,1,1.3251924514770508
6,1,1.0884952545166016
7,0,1.7610411643981934
8,1,1.27280592918396
9,1,3.144822835922241
10,1,1.392683982849121
11,1,1.8529980182647705
12,1,1.277207374572754
13,0,1.9212310314178467
14,1,4.073353052139282
15,1,2.0843446254730225
16,1,1.7130348682403564
17,1,2.6765036582946777
18,1,2.100914716720581
19,1,2.064671516418457
20,1,2.196690797805786
